governance,privacy,technical,ethics,org_capability,org_size,readiness_score
5,5,1,2,3,0,72.20210677064046
1,2,3,4,1,0,39.49892570621869
4,1,4,2,5,0,53.55971628034074
4,5,2,3,4,0,79.42804701487029
4,1,5,2,1,1,50.46166550807531
4,3,2,3,4,0,67.98471845014107
3,2,5,5,4,0,67.49479588006098
4,1,2,3,4,0,62.007856889477125
2,4,3,1,5,0,60.74775269463074
4,1,4,2,3,0,51.95976064562985
3,4,1,4,3,1,55.41458723894847
3,4,5,3,4,1,78.02762602612154
3,1,2,3,1,2,40.68810934644916
3,1,3,3,1,1,45.15328746489318
1,4,4,2,5,1,64.36119430886048
1,3,4,3,2,2,46.25655563315022
2,1,1,4,3,0,39.45646886087727
1,5,5,5,2,2,74.77313896826153
3,2,4,4,2,2,64.045587441928
4,1,5,5,3,1,69.20193666239663
4,5,3,5,5,2,84.55547059573672
3,1,4,1,3,0,39.30592268739535
5,3,3,2,1,2,59.71877503667402
3,5,5,2,2,1,74.59179613287367
1,3,5,1,1,0,45.310589055288816
4,3,5,1,5,0,72.37463539283114
3,2,3,4,2,2,61.19626804817031
4,1,4,2,2,1,49.06338445468863
3,3,2,1,1,0,44.81909848883675
3,5,3,2,3,1,67.94355481705608
1,1,4,2,5,2,39.479200312127425
3,5,1,1,3,1,63.15738556963708
4,3,4,1,4,0,70.54293400806573
2,3,1,4,1,0,46.45066663544378
4,1,3,5,1,0,66.97115889664292
1,4,3,3,4,2,47.50552360194929
2,1,3,4,1,2,42.9613685944716
3,2,3,5,3,2,62.831684844670306
5,4,3,5,2,1,76.42722476603039
2,1,3,1,1,2,35.503572709088644
2,3,3,5,3,1,54.46708753106061
3,3,3,1,5,1,61.45278659137126
5,1,4,1,1,0,61.28917384064452
5,2,3,3,5,1,72.36166700564164
1,2,4,4,3,1,40.73601092467527
2,4,5,1,4,0,58.166032394169825
5,5,5,2,1,1,85.8235500160658
1,5,1,2,5,2,51.10599321756183
5,1,4,2,1,1,45.52998691153756
2,1,2,5,5,1,56.214151919341205
5,1,1,2,4,0,53.683282531269164
2,3,4,2,2,0,48.90462667999977
3,1,1,1,1,0,36.97477798783332
4,2,5,1,4,0,61.61229993546551
1,5,4,1,1,2,48.55773941197893
3,5,5,3,4,2,81.79176325507018
3,5,4,3,4,1,84.90519229621148
4,2,5,3,2,1,75.11793588986444
5,4,1,5,2,1,74.79855749452055
4,4,5,3,2,1,79.31192829425162
3,1,1,1,2,1,37.957494660424125
3,3,2,2,1,1,42.715081623153246
3,3,1,2,2,2,50.22074168575991
5,2,3,5,4,1,71.32963265928235
2,4,4,2,2,1,59.59239033398291
1,4,2,1,4,1,43.86266186196331
2,3,5,4,5,0,71.50604163557107
1,4,4,3,4,0,59.5905173250323
1,4,4,1,3,0,35.6348486458935
1,3,5,4,2,1,57.89445855852591
4,2,3,2,5,2,65.21076476149629
4,4,2,5,2,2,73.22964174169228
4,4,5,5,3,2,84.4870702689571
3,5,3,2,3,0,75.21080845965203
4,1,4,3,4,2,63.556865645608305
1,3,2,3,3,2,46.188366500965536
5,5,2,4,4,1,88.22245947025284
3,3,1,1,5,0,51.812964998483
5,5,2,2,2,1,68.50991123292899
1,1,1,1,5,2,15.808312931101884
3,1,4,4,1,2,50.61439548990959
4,4,1,1,5,1,64.80472762940559
3,2,4,3,1,1,53.23451834291098
3,3,5,4,5,1,79.00589186140864
1,3,4,5,2,0,56.74364087960137
2,3,3,2,5,1,61.440330351310934
2,5,1,1,1,0,44.5239164643967
2,1,5,4,3,2,57.33807413283845
4,4,1,1,5,2,63.5294253226768
4,5,4,1,1,1,77.50800936315596
4,4,4,5,2,1,70.46681346832861
2,2,1,5,1,2,40.70795862723421
5,1,4,4,2,1,71.24258052694252
1,4,1,5,2,2,56.729482398893246
2,3,2,1,4,1,47.2003575632104
1,1,5,1,2,0,36.536479177892566
2,2,5,2,1,0,53.785591843372224
5,5,2,1,1,0,72.34351337615841
2,2,5,5,5,1,65.20169160666346
5,1,5,1,5,1,69.65153656088773
3,4,4,3,2,1,72.90263631205985
4,1,1,5,1,0,59.45229496637226
3,5,2,4,1,2,68.71302479617646
2,5,4,2,5,1,69.22069448332796
4,5,5,3,4,2,85.72962411981047
5,5,5,3,4,1,94.78698278596814
2,2,3,4,2,1,49.42163578760276
4,2,2,3,4,1,59.94820249511194
2,2,5,2,1,0,44.71061867734563
4,3,2,4,4,0,73.48528598245579
4,5,2,5,3,1,72.2990763642566
3,4,5,3,2,2,68.83944119773494
4,4,3,1,4,0,67.48796630425907
2,5,2,3,4,1,71.95493439944319
1,4,1,5,3,2,48.88658507573837
1,2,3,5,1,2,41.669920930198025
3,3,5,3,1,1,61.245915413331026
5,3,3,1,5,0,78.29448583805656
1,1,4,3,2,0,25.938265032469893
3,4,2,5,2,1,59.98630993925707
4,4,4,5,4,2,96.65644354579776
2,4,4,1,2,0,57.954410367458195
4,3,4,2,2,2,59.470075253303904
2,4,4,3,4,2,64.79041008912615
5,5,3,1,3,0,76.3372728303393
3,3,2,5,4,1,68.23062622952803
3,3,4,1,1,0,63.197510014112815
1,1,5,4,3,2,50.94275840639608
3,4,5,5,3,1,76.3010584849352
5,5,2,4,4,0,86.93542221049103
1,4,4,4,1,0,52.508736515685705
4,5,1,2,1,1,55.83331252005486
3,5,3,5,4,0,69.20045564021777
4,4,3,3,4,0,65.174358027498
4,3,2,1,5,0,55.51777421937864
3,1,5,2,2,1,47.111051161495645
2,1,5,2,5,2,54.566182636873584
4,2,1,3,2,1,45.00299087087983
1,3,2,2,4,0,27.28166848987629
3,4,2,3,1,1,51.780441127052676
1,3,5,3,5,2,57.640701761392904
4,1,3,2,2,0,47.972752560640174
4,2,4,4,5,0,79.59762339654593
1,5,5,2,2,0,57.93228720355425
4,5,4,4,4,2,89.40461731599599
3,2,1,2,3,0,43.905087001595696
4,5,1,5,1,1,69.788476371637
1,4,2,2,1,2,37.82309855575982
1,5,2,1,4,1,49.70608674209616
3,5,4,1,1,1,60.174519365512914
1,4,1,5,2,0,49.85012157127286
2,2,2,5,3,0,49.81875183688156
4,4,2,2,2,0,57.276860334042
1,2,1,4,1,2,38.95947169850297
4,2,1,3,4,0,57.13420240010712
1,4,1,1,4,0,38.75968632928876
1,3,3,3,4,2,50.72746523517655
3,3,3,4,5,1,66.58088739249018
4,2,3,5,1,1,58.662045313683635
1,3,3,5,3,2,54.35248114510582
2,1,4,1,2,1,36.89494122596313
5,4,5,2,5,2,81.2753308218995
5,3,3,3,3,1,63.886163348667374
3,5,4,1,1,2,62.20696323230685
3,3,4,3,4,2,68.83485329791861
2,3,4,1,1,1,44.52670323310571
4,1,1,1,2,0,52.60354346078985
3,1,5,1,4,2,58.42842826826365
2,2,1,2,3,0,44.52165066330239
1,2,3,4,4,0,51.976215060368794
1,2,4,1,3,1,50.26432487469286
5,2,3,5,5,2,73.0649900826373
3,4,2,2,3,0,45.19631307170688
3,1,5,1,1,2,45.76937195823558
3,2,1,2,1,2,42.79109287773769
4,1,2,4,4,2,57.7575848587399
1,2,5,1,1,1,42.377363054838916
1,4,4,1,2,0,55.60455001334937
2,1,1,5,1,1,39.910287872312495
3,2,4,3,2,0,60.994564637955115
4,1,5,2,3,2,56.3021862907362
3,5,1,4,1,1,55.52303155391982
3,4,3,5,3,1,79.07056961512244
5,2,3,2,5,1,68.50450767573534
1,1,1,3,1,2,22.883854082769325
3,1,2,1,1,1,32.89302753226441
3,3,1,2,2,2,43.75438439180871
3,4,1,3,5,2,57.455204894770795
5,3,3,1,3,2,59.58426098698169
2,5,3,5,4,1,64.49789798889746
5,2,2,5,1,2,64.0249781117279
2,2,2,2,4,0,41.03537064839801
3,3,1,2,1,0,50.535796427216475
3,2,4,1,4,1,56.46538326633459
5,5,2,3,1,2,75.32658840038991
3,1,5,1,5,0,52.28439796222774
2,3,3,2,2,1,48.394857921100126
1,3,5,3,1,0,53.8050055181572
2,1,4,4,2,1,52.580978698563385
5,3,2,3,1,0,63.53054086740816
1,3,4,2,1,2,50.395618896621045
5,2,2,4,3,2,66.0399465445397
3,1,1,4,2,2,46.9642355925884
1,1,2,4,2,2,32.55073895705425
2,1,2,3,5,0,34.9370581671568
3,3,1,5,1,1,55.341794940092605
2,1,1,2,2,0,34.62662031573313
1,5,5,5,1,1,70.87673665903785
4,2,3,2,3,1,60.11093330718719
4,4,3,2,2,2,64.25706517022506
1,4,5,3,1,0,52.966268742772044
2,3,2,3,1,2,48.75864134521891
2,5,3,4,5,1,73.13223708099139
4,1,5,2,1,2,54.19550454578088
4,2,4,5,4,1,78.54712094596029
4,2,2,2,5,1,53.58567242726199
5,1,2,3,3,2,55.08238310604479
4,2,1,5,2,2,65.18212606170833
2,2,1,3,4,0,47.342909688669565
1,4,1,4,5,1,50.20995347054489
4,2,4,5,1,0,68.43690354821776
5,5,4,5,5,1,96.77396122261919
5,4,3,3,5,2,67.27193067511311
2,5,4,3,1,2,59.46763025263311
2,1,1,1,1,0,25.745766914453593
1,5,2,3,4,1,54.21694261720348
1,4,2,5,1,1,52.2355128241521
3,5,5,3,4,1,85.6474115647396
3,2,4,2,1,0,50.39232107673036
2,5,5,1,4,0,62.71172601938568
2,3,2,2,2,1,46.624258292555226
5,1,5,2,1,1,61.36688333216098
3,3,1,5,1,2,53.21968249589048
5,1,2,3,1,1,52.5411314042346
5,5,3,1,3,1,87.20918900005493
2,2,1,1,1,1,19.796478695010276
2,2,5,5,5,2,65.05833048433676
5,3,5,5,4,1,87.98155487175805
4,3,3,4,2,1,63.09428753858611
2,1,2,1,5,0,42.49912916064142
4,5,1,1,4,2,68.0662883935982
3,5,4,1,4,2,69.7612269075573
5,4,3,4,1,0,74.64663122328153
2,4,4,4,4,1,67.44021582884176
5,3,4,5,3,0,81.47606673176095
5,3,1,1,5,2,61.608134859371184
1,3,1,1,3,0,33.060004492416006
1,1,4,5,4,0,51.26224657296196
3,1,1,5,2,0,49.766060324139325
1,2,5,4,1,1,43.848699262007116
2,3,1,1,1,0,30.746680503834256
3,1,4,1,5,1,43.257409852582384
5,1,5,1,4,2,70.33198700178798
5,5,3,4,2,2,84.25161646595231
1,2,1,5,4,0,45.52633757966385
5,3,5,4,1,0,71.85250880818266
1,3,1,2,1,0,41.92474061440069
4,4,3,4,3,2,70.95574545927322
5,4,5,1,4,1,81.84102903555628
5,2,4,5,5,1,85.27192330339186
2,5,1,5,4,2,59.06510122101964
5,2,5,4,2,1,73.26837820743667
1,5,1,5,5,0,60.89585887300437
3,3,4,3,3,1,78.28736537732354
3,1,4,3,5,2,59.50562371426012
2,4,2,2,1,0,56.03180575315359
1,1,3,5,1,1,46.02836572595978
4,4,1,4,1,1,63.84005018247261
2,1,5,1,5,0,45.054021141846604
4,2,2,5,1,0,64.29876805409118
3,4,2,1,5,1,51.50944829175977
2,5,3,3,4,1,74.00437561838547
5,3,4,1,1,0,67.00002654109126
1,1,3,4,5,1,31.74888226350912
4,2,3,3,1,1,55.297469524840814
4,5,3,3,1,1,75.2697391046147
2,4,5,4,3,2,68.81488063480117
2,1,2,4,2,0,44.575029054967864
1,2,5,2,2,1,41.74987916143853
5,2,4,5,1,0,66.47008813606196
5,1,5,3,4,2,71.64277298476198
2,5,5,1,1,0,62.157828336449576
1,4,4,1,2,2,47.2580782446884
1,1,2,2,3,0,37.136455733210965
1,4,4,4,3,0,55.74896312430471
5,3,4,3,4,1,79.56582803666174
5,1,2,2,2,2,53.33984985581812
1,3,4,3,4,0,46.216420239319575
4,1,2,5,4,0,53.40484908165744
1,2,3,3,2,2,41.059555081243154
2,5,4,1,2,0,69.90599999343483
3,4,1,1,3,0,53.89634905949406
4,1,2,3,3,2,43.37182587427683
5,5,4,3,1,0,66.44755967440331
1,3,3,5,3,2,57.6652679650219
1,5,5,3,1,2,61.518932585359
2,4,1,4,3,2,59.70632984755185
2,2,4,3,5,0,52.5964103964428
5,3,5,2,3,0,78.75106248929262
4,3,5,4,4,1,83.2308673151393
2,4,1,4,2,1,49.76268180896759
5,2,5,4,5,2,79.86957214884467
3,2,2,1,5,1,49.12631415549195
3,2,2,4,5,2,60.713381732801636
3,2,2,2,4,2,49.928329977440434
1,1,4,4,4,2,51.86998168879743
5,1,4,4,3,0,66.69032405366485
1,5,3,4,5,0,58.358023972684464
1,1,1,5,5,0,49.8848768405659
2,5,5,3,3,1,68.97683131728778
2,1,2,1,1,0,27.157789581411265
1,4,1,4,1,2,43.67098339463909
1,2,3,4,2,0,44.33590554826991
4,3,3,1,1,2,54.066581787558576
5,2,4,1,2,2,62.91283051525495
1,3,5,2,1,0,48.801188842859126
2,3,1,5,5,0,56.874096635104024
3,3,2,3,1,1,40.21256270506342
5,2,3,5,4,1,84.40438153503925
4,3,4,5,2,0,73.26355843232722
4,5,4,3,1,1,78.90311309723492
3,3,2,4,4,0,54.10949329232988
3,2,4,2,5,0,57.64499869375375
1,1,5,1,4,2,38.638420668397934
5,2,3,2,5,2,75.34861882254273
5,1,5,3,3,0,67.07093196582059
1,1,4,1,4,2,41.79039993470046
4,5,2,2,1,1,61.74789773663402
1,1,2,1,5,1,29.73690530173028
4,3,4,4,4,0,73.77224917399657
5,5,2,5,2,1,88.4192256341465
1,5,2,5,2,1,48.55073670484941
3,1,2,2,4,1,38.42168222362784
1,1,4,3,1,0,28.263474171550918
3,2,2,5,5,0,55.56248940119275
5,3,4,3,2,1,69.94199974403946
1,5,5,2,1,0,50.92759372954806
2,2,5,2,2,0,48.32926126692666
5,1,5,4,5,1,66.92642759533292
2,2,1,3,2,2,33.910056381161596
1,5,3,5,3,1,70.002101999551
3,1,2,5,5,0,58.01794035140551
3,2,5,1,1,2,53.93733836086264
4,1,4,4,4,1,59.98610721860443
2,1,2,2,2,2,27.319575204776378
5,5,3,3,4,0,78.30421962232862
3,1,4,2,1,1,46.78395086551993
2,2,3,2,1,0,46.34088389863335
5,5,3,2,4,1,85.5118370856766
5,4,1,1,5,0,70.15306181241667
3,1,3,4,5,2,53.312215679660284
1,3,2,1,4,0,40.12274916201994
3,5,5,2,3,1,73.39328734981378
3,3,5,1,1,0,56.99405118252624
1,3,4,1,2,2,54.18563948479907
4,3,1,2,4,1,48.189998814981934
5,4,5,5,2,2,87.82661592038869
1,1,2,5,3,1,46.058744535980786
4,5,3,2,1,1,61.67054252483231
1,5,5,3,3,0,62.78126287366874
4,1,5,5,2,1,65.3548075121618
3,5,1,2,1,1,53.88355138973009
1,5,2,5,1,0,48.02021420196892
5,4,4,1,3,1,77.9764303016902
1,2,3,2,2,0,41.33143641256572
3,3,2,2,1,0,51.54187662508973
1,5,3,1,3,0,47.648131628544604
5,1,5,5,1,1,72.43255395393648
4,5,2,5,1,0,69.50279880215456
5,5,4,2,1,0,77.33701669614243
3,4,4,5,3,1,85.76733963585438
3,2,5,4,5,0,70.47847688798127
4,3,2,5,2,0,60.06236712006413
4,1,2,5,2,1,56.90167670331957
5,5,3,3,2,0,73.24102036968345
1,2,3,1,2,2,29.004948037424942
4,1,3,5,4,1,58.794384320256036
1,4,4,4,2,2,55.77845273902159
2,4,4,5,4,2,75.68484497794603
5,4,2,5,5,2,85.8919909900842
2,1,4,1,5,1,48.614976641236645
4,4,2,3,3,1,61.50537717204729
3,4,3,1,4,2,58.29342822282176
2,4,1,1,5,0,50.36000553441595
2,5,2,5,4,2,64.85840007305794
3,2,5,5,2,0,65.6081677984945
4,2,3,5,1,0,65.20679346264974
4,5,4,5,1,0,80.25613659399349
5,3,1,4,5,0,72.13029794551014
5,3,4,3,3,0,83.96364228009784
4,2,2,5,2,2,60.14070600506502
4,4,4,3,2,0,78.89668904859604
2,4,5,4,2,2,70.79685033653679
3,1,3,2,5,1,43.66379003256617
1,3,1,4,4,2,39.48931485368238
2,5,3,5,5,1,69.83202058465052
5,2,1,4,2,0,55.72582541533609
3,2,3,3,3,0,54.54855126946594
1,5,1,1,1,1,43.073220240409114
4,1,4,1,5,2,64.27579208352361
5,2,2,4,3,0,67.5408754436254
5,3,2,4,3,1,68.77160221973395
2,4,1,4,3,2,43.588793781850626
3,1,5,5,2,2,62.35294787708669
3,3,5,3,5,1,72.12885096847495
2,1,5,5,3,0,58.9146437676948
2,4,1,4,4,0,66.53120148851666
2,4,2,2,1,1,54.20298273096536
5,3,5,5,2,1,87.92530459124994
4,2,3,1,5,0,54.189614349642
5,1,1,3,1,0,47.43502625401628
5,5,1,5,1,1,75.5257769653575
5,4,2,4,5,2,76.12296437994823
1,2,5,5,2,0,57.5023226249256
5,3,1,1,2,1,57.78454424607853
1,4,5,3,3,0,55.558461034726534
3,4,4,4,1,0,73.98408354548062
3,3,5,4,1,1,67.5115516690443
2,2,5,5,1,0,50.35464426628875
1,4,2,3,1,0,44.74328570827516
1,4,5,4,1,2,61.40603227961452
5,3,1,3,4,0,70.8639618071787
2,1,2,5,2,0,42.31261798436692
2,3,2,1,1,2,44.13969133723604
5,4,1,2,1,1,62.93570993385108
1,5,1,1,3,0,37.42472695481211
5,3,1,4,5,1,63.924166132587445
5,2,1,2,2,1,59.61279935074674
3,3,2,2,1,0,54.97992089190884
1,1,1,5,2,1,35.614546152023614
1,1,1,2,3,1,34.47853360590014
2,4,5,1,1,0,62.28304924520804
3,5,1,1,5,2,63.41814364739861
1,5,1,2,4,1,44.44344255633163
3,3,1,5,2,2,64.65714375516171
1,1,1,3,5,0,36.68150716104137
3,5,3,5,2,0,72.07080612694189
1,3,5,2,1,2,45.6586499734735
4,2,4,2,5,2,67.28391890756927
1,5,3,1,5,0,47.64470457580774
1,4,1,2,2,2,43.49836637676431
1,4,4,3,3,0,52.23214592652986
5,2,1,5,1,1,62.85304054412144
1,5,4,2,4,0,58.391898313209204
3,3,3,4,4,1,63.67790643637648
3,3,5,4,4,2,69.21545063617468
3,4,2,2,3,2,57.19385284409598
4,4,4,5,4,2,92.44689773008677
5,1,3,3,3,0,68.9252981352432
2,2,3,1,5,2,48.772394774977286
5,2,5,5,1,1,76.87352867217524
2,5,4,5,3,1,78.22100595346443
5,4,3,1,3,2,76.64985197053778
3,2,3,5,3,1,56.850908088962356
4,4,4,5,1,1,76.61280566183899
5,4,2,5,2,1,67.8902088521596
4,2,1,2,5,1,59.61551055130447
5,3,3,4,1,2,81.32512128850429
3,5,1,3,4,1,64.40041312311541
1,3,1,4,4,1,34.37494937548492
3,1,3,4,3,0,56.04445258288516
1,4,4,4,1,1,51.479554169254605
5,3,4,3,1,2,68.6832527916777
2,3,2,4,2,1,54.13288194895502
2,4,3,3,1,0,56.27277062756363
2,5,1,1,1,1,43.559456123307
4,2,4,1,1,2,51.751971836991686
3,3,2,5,1,0,58.62918027610416
5,1,4,5,5,0,73.95267223743816
3,4,5,3,4,1,69.45381433198494
2,3,4,1,1,1,46.337184092608204
1,2,2,4,4,0,45.69796311627593
1,4,5,1,1,2,50.10948266590184
2,3,4,2,3,2,47.93245700875908
5,3,4,2,1,1,73.9453231068777
3,3,5,1,1,1,44.30594281528332
5,2,5,5,1,0,74.76817422485783
1,1,1,3,3,2,26.89900772723042
1,5,5,2,3,2,63.74089438935706
5,1,4,3,2,1,66.80830903901368
1,2,2,1,4,1,40.633824041305175
1,4,2,3,4,2,47.4379756332392
3,1,4,3,4,2,58.9329116866674
5,4,2,2,3,0,70.97909193940731
4,4,3,5,3,2,68.44230312408389
1,4,4,2,3,2,63.502701277170544
5,2,4,1,2,2,55.806124363799
5,1,5,3,3,1,72.09748636154858
5,5,1,5,1,1,77.94979972098874
5,2,2,2,5,0,65.37818391164538
2,5,5,1,2,1,61.527115589191965
5,1,3,5,4,0,74.13626325570252
2,1,2,3,5,1,36.19816263028453
5,4,2,1,3,0,66.67085605663038
3,5,2,4,5,1,70.1806266172377
4,5,3,2,3,1,69.61351028966486
4,4,2,5,1,0,71.14373893726773
4,2,4,2,1,2,63.38739271359841
4,5,3,3,1,1,70.28372119081567
4,4,4,3,5,2,82.90340544962889
4,1,1,2,3,0,45.24870332722299
1,1,4,3,2,2,35.53633895380996
5,5,5,1,3,0,82.71023953379469
3,2,1,4,2,1,46.50257054604192
2,4,2,4,5,1,58.516700437472764
3,1,4,5,5,1,66.14241464327917
5,2,4,2,1,1,65.17323093852379
5,2,4,2,4,2,62.04675150865291
5,2,3,3,2,0,56.74237002380321
3,4,4,4,1,2,70.12342226602877
4,5,4,5,5,0,85.92356785602733
2,5,1,1,1,0,47.510205775501625
4,4,4,2,2,0,73.90465789054595
4,2,3,2,1,2,47.645235812972196
2,5,1,2,3,0,45.94231372711907
2,3,3,3,3,1,62.37215841197647
1,3,3,5,2,1,53.75785391481231
1,4,1,1,1,2,32.90379671663364
3,4,5,5,1,1,70.33029773676869
3,5,2,4,5,2,70.4477957554636
1,3,2,4,5,2,45.04713831943345
3,4,3,4,5,2,76.41706087045296
4,4,5,1,3,2,69.11624423196841
2,2,4,4,3,0,61.467672941081325
2,2,4,2,4,1,49.99685540114994
2,4,2,3,4,1,51.78324908191343
3,1,5,4,3,0,58.86849205993099
2,2,5,4,2,0,44.879166112492925
4,4,3,2,3,0,67.39615711662996
2,5,3,2,1,2,56.14940404434921
3,3,1,3,1,1,52.12371373273984
2,2,4,1,4,0,39.56847536008311
1,3,5,4,5,2,68.80933180431774
4,4,3,1,1,2,65.10299647498829
2,3,3,3,1,2,56.26021781849333
2,1,3,4,1,2,42.73639311997932
4,3,1,1,4,2,59.06948417051377
5,3,4,5,2,0,72.64377982546547
4,4,4,2,2,2,73.56523782602267
5,5,5,1,1,1,76.14418618950027
5,5,5,4,5,1,88.74299083788532
3,4,3,3,3,1,59.37929740917819
4,2,5,4,4,1,74.02765569314636
2,3,3,4,4,1,54.87850395891199
3,1,4,3,1,2,51.880367658479
3,5,4,5,5,0,74.95881222497992
5,5,5,2,3,0,76.36451228192068
5,5,4,3,4,0,94.8619371707179
3,2,1,1,2,2,43.51900064700716
4,2,1,4,5,1,54.75351582043096
2,5,3,2,5,1,64.9850017826473
5,3,3,4,3,1,80.09753530100662
3,4,4,5,1,1,73.09600304145305
3,3,3,5,5,1,70.74111548091739
4,3,3,5,5,0,81.47577040656299
4,4,5,1,3,0,69.3464376239939
1,5,2,1,3,2,48.15589224332315
2,2,3,5,2,1,52.91075680853804
1,5,3,2,1,0,49.636189761644786
4,2,3,1,5,1,57.05097244289624
1,3,5,2,3,1,53.36434118914244
2,5,5,5,2,0,76.17203747992764
3,5,3,2,4,0,63.75786178732737
4,5,3,1,1,2,70.00897954950224
3,2,3,4,1,0,49.11807396116871
5,5,1,1,2,0,64.90883277726412
5,5,3,2,3,1,77.52359763639974
1,5,2,1,2,1,47.79051806329608
5,1,1,4,1,2,42.404480298913334
4,4,1,3,2,2,65.4545490746473
4,5,3,5,2,0,76.61504826193918
1,4,1,2,3,1,48.09981647388528
4,2,4,2,3,0,59.60917537741921
4,4,3,1,5,1,68.75578207132995
3,1,2,2,5,0,56.56893020034211
1,3,4,3,2,0,48.61330895603166
3,4,3,1,5,2,69.1942494233673
5,3,4,3,3,0,76.1952254278228
4,4,4,5,1,1,79.07709415146745
1,2,1,4,2,0,36.34979294705687
5,4,2,4,4,2,82.23925813150062
5,4,3,5,5,2,83.57234193573473
1,4,5,4,2,1,57.07975738490407
5,2,1,4,1,2,54.8071190481149
3,2,1,5,1,1,49.49855188162045
3,2,5,1,1,0,51.89590607224835
3,3,5,5,4,0,79.55137438235589
4,3,1,2,3,0,61.523658499107604
5,2,3,4,3,0,65.12080831382495
4,3,4,5,4,0,74.33025604193034
5,2,1,3,5,0,55.81880290843574
5,2,2,1,4,1,69.15186495379552
1,4,2,2,1,0,43.523347495609144
2,5,4,3,3,1,70.3990116002579
4,2,2,5,5,1,60.29895807484476
